Datetime,eur,nok,sek,cny,jpy
2026-07-09 05:05:00+01:00,1.142987847328186,9.74905014038086,9.679849624633787,6.797599792480469,162.45399475097656
2026-07-09 05:06:00+01:00,1.142987847328186,9.749150276184082,9.679909706115724,6.797599792480469,162.4499969482422
2026-07-09 05:07:00+01:00,1.142987847328186,9.748749732971191,9.679550170898438,6.797599792480469,162.43899536132812
2026-07-09 05:08:00+01:00,1.143118381500244,9.749250411987305,9.679750442504885,6.797599792480469,162.44000244140625
2026-07-09 05:09:00+01:00,1.142987847328186,9.74845027923584,9.67920970916748,6.797599792480469,162.44000244140625
2026-07-09 05:10:00+01:00,1.142987847328186,9.746729850769045,9.678750038146973,6.797599792480469,162.43099975585938
2026-07-09 05:11:00+01:00,1.143118381500244,9.74804973602295,9.679909706115724,6.797599792480469,162.4320068359375
2026-07-09 05:12:00+01:00,1.142987847328186,9.748649597167969,9.681010246276855,6.787300109863281,162.43699645996094
2026-07-09 05:13:00+01:00,1.1428571939468384,9.74845027923584,9.67965030670166,6.797800064086914,162.4320068359375
2026-07-09 05:14:00+01:00,1.142987847328186,9.748149871826172,9.680410385131836,6.797800064086914,162.43099975585938
2026-07-09 05:15:00+01:00,1.142987847328186,9.748849868774414,9.679949760437012,6.797999858856201,162.4320068359375
2026-07-09 05:16:00+01:00,1.1428571939468384,9.749150276184082,9.680060386657717,6.797999858856201,162.41799926757812
2026-07-09 05:17:00+01:00,1.1428571939468384,9.749850273132324,9.68301010131836,6.797999858856201,162.42999267578125
2026-07-09 05:18:00+01:00,1.1427265405654907,9.751250267028809,9.684209823608398,6.797999858856201,162.42999267578125
2026-07-09 05:19:00+01:00,1.1427265405654907,9.752249717712402,9.684049606323242,6.797999858856201,162.41799926757812
2026-07-09 05:20:00+01:00,1.1427265405654907,9.75154972076416,9.683349609375,6.797999858856201,162.4239959716797
2026-07-09 05:21:00+01:00,1.1428571939468384,9.751150131225586,9.682350158691406,6.797999858856201,162.42300415039062
2026-07-09 05:22:00+01:00,1.1428571939468384,9.75154972076416,9.682350158691406,6.797999858856201,162.4149932861328
2026-07-09 05:23:00+01:00,1.143118381500244,9.751359939575195,9.682250022888184,6.797999858856201,162.40699768066406
2026-07-09 05:24:00+01:00,1.1428571939468384,9.75214958190918,9.683349609375,6.787799835205078,162.43099975585938
2026-07-09 05:25:00+01:00,1.1428571939468384,9.75214958190918,9.683050155639648,6.797999858856201,162.42300415039062
2026-07-09 05:26:00+01:00,1.1428571939468384,9.751469612121582,9.68274974822998,6.797999858856201,162.42999267578125
2026-07-09 05:27:00+01:00,1.1428571939468384,9.752249717712402,9.682849884033203,6.797999858856201,162.41799926757812
2026-07-09 05:28:00+01:00,1.1428571939468384,9.752650260925291,9.682950019836426,6.797999858856201,162.43099975585938
2026-07-09 05:29:00+01:00,1.1428571939468384,9.752070426940918,9.682849884033203,6.797999858856201,162.41700744628906
2026-07-09 05:30:00+01:00,1.1428571939468384,9.75214958190918,9.682510375976562,6.797999858856201,162.41799926757812
2026-07-09 05:31:00+01:00,1.142987847328186,9.75214958190918,9.68235969543457,6.797999858856201,162.43299865722656
2026-07-09 05:32:00+01:00,1.142987847328186,9.751179695129396,9.68142032623291,6.797999858856201,162.42100524902344
